UC_ID,Title,Description,MainScenarioStepCount,MainScenario,PrimaryText
1,Secure User Registration,A visitor to the platform registers as a user and must verify their email to activate the account.,9,"Visitor accesses registration page | Visitor provides required information (name, email, password, address, …) | Visitor submits the registration form | System validates email format and password strength | System creates a user account with unverified email status | System sends a verification email to the user | User clicks verification link in the email | System marks the email as verified and activates the account | User receives confirmation of successful registration","Title: Secure User Registration. Description: A visitor to the platform registers as a user and must verify their email to activate the account.. MainScenario: Visitor accesses registration page Visitor provides required information (name, email, password, address, …) Visitor submits the registration form System validates email format and password strength System creates a user account with unverified email status System sends a verification email to the user User clicks verification link in the email System marks the email as verified and activates the account User receives confirmation of successful registration"
2,User Login,"Registered users (including User, Platform Managers and Service Providers) log into the platform using their email and password.",5,User navigates to the login page. | User enters email and password. | System validates credentials. | System grants access to the user’s account based on their role. | System records the login timestamp.,"Title: User Login. Description: Registered users (including User, Platform Managers and Service Providers) log into the platform using their email and password.. MainScenario: User navigates to the login page. User enters email and password. System validates credentials. System grants access to the user’s account based on their role. System records the login timestamp."
3,Password Recovery,A registered user resets their forgotten password via email verification.,6,"User selects ""Forgot Password"" on the login page. | User enters their registered email address. | System sends a password reset link to the email. | User clicks the reset link (valid for a limited time). | User enters and confirms a new password. | System updates the password and notifies the user to confirm the reset.","Title: Password Recovery. Description: A registered user resets their forgotten password via email verification.. MainScenario: User selects ""Forgot Password"" on the login page. User enters their registered email address. System sends a password reset link to the email. User clicks the reset link (valid for a limited time). User enters and confirms a new password. System updates the password and notifies the user to confirm the reset."
4,Managing User Profiles and Accounts,A registered user updates their personal profile information or account settings.,5,"User navigates to ""Profile Settings"" or ""Account Settings"". | User edits information (e.g., name, phone number, address). | System validates the updated data (e.g., email format, address consistency). | User saves the changes. | System updates the profile and records the modification timestamp.","Title: Managing User Profiles and Accounts. Description: A registered user updates their personal profile information or account settings.. MainScenario: User navigates to ""Profile Settings"" or ""Account Settings"". User edits information (e.g., name, phone number, address). System validates the updated data (e.g., email format, address consistency). User saves the changes. System updates the profile and records the modification timestamp."
5,Listing Recyclable Waste Products,User lists a recyclable waste product.,4,"User accesses the product listing page. | User enters product details (e.g., product name, category, inventory, description). | User submits the listing. | System validates and publishes the listing.","Title: Listing Recyclable Waste Products. Description: User lists a recyclable waste product.. MainScenario: User accesses the product listing page. User enters product details (e.g., product name, category, inventory, description). User submits the listing. System validates and publishes the listing."
6,Requesting Waste Transport/Collection Services,User requests a service for waste transport/collection.,3,User accesses the service request section. | User fills out and submits the transport/collection request form. | Service provider receives the request and schedules the transport/collection.,Title: Requesting Waste Transport/Collection Services. Description: User requests a service for waste transport/collection.. MainScenario: User accesses the service request section. User fills out and submits the transport/collection request form. Service provider receives the request and schedules the transport/collection.
7,Connecting with Transport Companies,User connects with transport companies for waste transport/collection services.,3,User accesses the list of transport/collection companies. | User selects a company based on their requirements. | User contacts the company or books a service directly.,Title: Connecting with Transport Companies. Description: User connects with transport companies for waste transport/collection services.. MainScenario: User accesses the list of transport/collection companies. User selects a company based on their requirements. User contacts the company or books a service directly.
8,Handling Collection Requests,The service provider reviews and manages pending waste collection requests.,7,"Service provider accesses the ""Pending Collection Requests"" list. | Service provider opens a specific request to view details. | Service provider checks availability/capacity for the requested date/time. | Service provider accepts the request if feasible (or indicates a suitable timeslot). | System notifies the user that the request is accepted and scheduling is finalized. | Service provider dispatches a team or vehicle on the scheduled date. | Service provider updates the request status to ""Collected"" upon completion.","Title: Handling Collection Requests. Description: The service provider reviews and manages pending waste collection requests.. MainScenario: Service provider accesses the ""Pending Collection Requests"" list. Service provider opens a specific request to view details. Service provider checks availability/capacity for the requested date/time. Service provider accepts the request if feasible (or indicates a suitable timeslot). System notifies the user that the request is accepted and scheduling is finalized. Service provider dispatches a team or vehicle on the scheduled date. Service provider updates the request status to ""Collected"" upon completion."
9,Handling Transport Requests,The service provider reviews and fulfills user-submitted transport requests for waste.,8,"Service Provider views the ""Pending Transport Requests"" queue. | Service Provider opens a request to see details (waste type, distance, quantity, timeframe). | Service Provider checks vehicle availability/logistics feasibility. | Service Provider confirms acceptance if feasible. | Service Provider schedules transport date/time and route planning. | System notifies the user of acceptance and schedule. | Service Provider performs pickup, transit, and drop-off on the scheduled date. | Service Provider marks the request as ""Completed"" or ""Delivered"".","Title: Handling Transport Requests. Description: The service provider reviews and fulfills user-submitted transport requests for waste.. MainScenario: Service Provider views the ""Pending Transport Requests"" queue. Service Provider opens a request to see details (waste type, distance, quantity, timeframe). Service Provider checks vehicle availability/logistics feasibility. Service Provider confirms acceptance if feasible. Service Provider schedules transport date/time and route planning. System notifies the user of acceptance and schedule. Service Provider performs pickup, transit, and drop-off on the scheduled date. Service Provider marks the request as ""Completed"" or ""Delivered""."
10,Tracking Waste Journey,User tracks the journey of waste from collection to final treatment.,3,User accesses the waste tracking feature. | User inputs the tracking code. | System displays the current status and location of the waste.,Title: Tracking Waste Journey. Description: User tracks the journey of waste from collection to final treatment.. MainScenario: User accesses the waste tracking feature. User inputs the tracking code. System displays the current status and location of the waste.
11,Viewing Service Requests and Status,User views and tracks the status of their service requests.,3,User accesses their service request history. | User selects a request to view details. | System displays the current status and details of the request.,Title: Viewing Service Requests and Status. Description: User views and tracks the status of their service requests.. MainScenario: User accesses their service request history. User selects a request to view details. System displays the current status and details of the request.
12,Cancelling Service Requests,User cancels a previously submitted waste collection or transport service request.,4,User navigates to their service request history. | User selects a pending request. | User initiates the cancellation process. | System confirms the cancellation.,Title: Cancelling Service Requests. Description: User cancels a previously submitted waste collection or transport service request.. MainScenario: User navigates to their service request history. User selects a pending request. User initiates the cancellation process. System confirms the cancellation.
13,Editing Recyclable Waste Product Listing,User updates or modifies details of a previously listed recyclable waste product.,5,User accesses their product listings. | User selects the listing to edit. | User updates the product details. | User submits the changes. | System validates and updates the listing.,Title: Editing Recyclable Waste Product Listing. Description: User updates or modifies details of a previously listed recyclable waste product.. MainScenario: User accesses their product listings. User selects the listing to edit. User updates the product details. User submits the changes. System validates and updates the listing.
14,Searching for Recyclable Waste Products,User searches and filters through recyclable waste product listings to quickly find items of interest.,4,"User navigates to the product listings or search page. | User enters search criteria (keywords, category filters, location, etc.). | System processes the search request and displays relevant product listings. | User reviews the search results and selects a product for further details.","Title: Searching for Recyclable Waste Products. Description: User searches and filters through recyclable waste product listings to quickly find items of interest.. MainScenario: User navigates to the product listings or search page. User enters search criteria (keywords, category filters, location, etc.). System processes the search request and displays relevant product listings. User reviews the search results and selects a product for further details."
15,User Account Soft Deactivation,A user deactivates their account from the platform.,6,User navigates to account settings. | User selects the account deactivation/deletion option. | System prompts for confirmation and may request a reason. | User confirms the action. | System deactivates the account. | User receives confirmation of the account deactivation via email.,Title: User Account Soft Deactivation. Description: A user deactivates their account from the platform.. MainScenario: User navigates to account settings. User selects the account deactivation/deletion option. System prompts for confirmation and may request a reason. User confirms the action. System deactivates the account. User receives confirmation of the account deactivation via email.
16,User Logout,User logs out of the platform to end their session.,3,"User clicks on the ""Logout"" button. | System terminates the user’s session. | User is redirected to the homepage or login page.","Title: User Logout. Description: User logs out of the platform to end their session.. MainScenario: User clicks on the ""Logout"" button. System terminates the user’s session. User is redirected to the homepage or login page."
17,Managing Service Providers,"Platform manager oversees and manages the profiles and contracts of service providers (e.g., waste collectors, transport companies).",4,"Platform Manager accesses the service provider management portal. | Platform Manager reviews service provider profiles and performance metrics (e.g., company details, service areas, qualifications). | Platform Manager approves, updates, or deactivates service provider profiles as needed (e.g., service areas, availability). | System notifies providers of changes.","Title: Managing Service Providers. Description: Platform manager oversees and manages the profiles and contracts of service providers (e.g., waste collectors, transport companies).. MainScenario: Platform Manager accesses the service provider management portal. Platform Manager reviews service provider profiles and performance metrics (e.g., company details, service areas, qualifications). Platform Manager approves, updates, or deactivates service provider profiles as needed (e.g., service areas, availability). System notifies providers of changes."
