model,run,expected_puml,expected_png
ChatGPT-4o,1,ChatGPT-4o_run01.puml,ChatGPT-4o_run01.png
ChatGPT-4o,2,ChatGPT-4o_run02.puml,ChatGPT-4o_run02.png
ChatGPT-4o,3,ChatGPT-4o_run03.puml,ChatGPT-4o_run03.png
ChatGPT-4o,4,ChatGPT-4o_run04.puml,ChatGPT-4o_run04.png
ChatGPT-4o,5,ChatGPT-4o_run05.puml,ChatGPT-4o_run05.png
ChatGPT-4o,6,ChatGPT-4o_run06.puml,ChatGPT-4o_run06.png
ChatGPT-4o,7,ChatGPT-4o_run07.puml,ChatGPT-4o_run07.png
ChatGPT-4o,8,ChatGPT-4o_run08.puml,ChatGPT-4o_run08.png
ChatGPT-4o,9,ChatGPT-4o_run09.puml,ChatGPT-4o_run09.png
ChatGPT-4o,10,ChatGPT-4o_run10.puml,ChatGPT-4o_run10.png
ChatGPT-o3,1,ChatGPT-o3_run01.puml,ChatGPT-o3_run01.png
ChatGPT-o3,2,ChatGPT-o3_run02.puml,ChatGPT-o3_run02.png
ChatGPT-o3,3,ChatGPT-o3_run03.puml,ChatGPT-o3_run03.png
ChatGPT-o3,4,ChatGPT-o3_run04.puml,ChatGPT-o3_run04.png
ChatGPT-o3,5,ChatGPT-o3_run05.puml,ChatGPT-o3_run05.png
ChatGPT-o3,6,ChatGPT-o3_run06.puml,ChatGPT-o3_run06.png
ChatGPT-o3,7,ChatGPT-o3_run07.puml,ChatGPT-o3_run07.png
ChatGPT-o3,8,ChatGPT-o3_run08.puml,ChatGPT-o3_run08.png
ChatGPT-o3,9,ChatGPT-o3_run09.puml,ChatGPT-o3_run09.png
ChatGPT-o3,10,ChatGPT-o3_run10.puml,ChatGPT-o3_run10.png
Claude3.7,1,Claude3.7_run01.puml,Claude3.7_run01.png
Claude3.7,2,Claude3.7_run02.puml,Claude3.7_run02.png
Claude3.7,3,Claude3.7_run03.puml,Claude3.7_run03.png
Claude3.7,4,Claude3.7_run04.puml,Claude3.7_run04.png
Claude3.7,5,Claude3.7_run05.puml,Claude3.7_run05.png
Claude3.7,6,Claude3.7_run06.puml,Claude3.7_run06.png
Claude3.7,7,Claude3.7_run07.puml,Claude3.7_run07.png
Claude3.7,8,Claude3.7_run08.puml,Claude3.7_run08.png
Claude3.7,9,Claude3.7_run09.puml,Claude3.7_run09.png
Claude3.7,10,Claude3.7_run10.puml,Claude3.7_run10.png
Gemini-2.5-Pro-Preview-05-06,1,Gemini-2.5-Pro-Preview-05-06_run01.puml,Gemini-2.5-Pro-Preview-05-06_run01.png
Gemini-2.5-Pro-Preview-05-06,2,Gemini-2.5-Pro-Preview-05-06_run02.puml,Gemini-2.5-Pro-Preview-05-06_run02.png
Gemini-2.5-Pro-Preview-05-06,3,Gemini-2.5-Pro-Preview-05-06_run03.puml,Gemini-2.5-Pro-Preview-05-06_run03.png
Gemini-2.5-Pro-Preview-05-06,4,Gemini-2.5-Pro-Preview-05-06_run04.puml,Gemini-2.5-Pro-Preview-05-06_run04.png
Gemini-2.5-Pro-Preview-05-06,5,Gemini-2.5-Pro-Preview-05-06_run05.puml,Gemini-2.5-Pro-Preview-05-06_run05.png
Gemini-2.5-Pro-Preview-05-06,6,Gemini-2.5-Pro-Preview-05-06_run06.puml,Gemini-2.5-Pro-Preview-05-06_run06.png
Gemini-2.5-Pro-Preview-05-06,7,Gemini-2.5-Pro-Preview-05-06_run07.puml,Gemini-2.5-Pro-Preview-05-06_run07.png
Gemini-2.5-Pro-Preview-05-06,8,Gemini-2.5-Pro-Preview-05-06_run08.puml,Gemini-2.5-Pro-Preview-05-06_run08.png
Gemini-2.5-Pro-Preview-05-06,9,Gemini-2.5-Pro-Preview-05-06_run09.puml,Gemini-2.5-Pro-Preview-05-06_run09.png
Gemini-2.5-Pro-Preview-05-06,10,Gemini-2.5-Pro-Preview-05-06_run10.puml,Gemini-2.5-Pro-Preview-05-06_run10.png
Qwen3,1,Qwen3_run01.puml,Qwen3_run01.png
Qwen3,2,Qwen3_run02.puml,Qwen3_run02.png
Qwen3,3,Qwen3_run03.puml,Qwen3_run03.png
Qwen3,4,Qwen3_run04.puml,Qwen3_run04.png
Qwen3,5,Qwen3_run05.puml,Qwen3_run05.png
Qwen3,6,Qwen3_run06.puml,Qwen3_run06.png
Qwen3,7,Qwen3_run07.puml,Qwen3_run07.png
Qwen3,8,Qwen3_run08.puml,Qwen3_run08.png
Qwen3,9,Qwen3_run09.puml,Qwen3_run09.png
Qwen3,10,Qwen3_run10.puml,Qwen3_run10.png
Llama4,1,Llama4_run01.puml,Llama4_run01.png
Llama4,2,Llama4_run02.puml,Llama4_run02.png
Llama4,3,Llama4_run03.puml,Llama4_run03.png
Llama4,4,Llama4_run04.puml,Llama4_run04.png
Llama4,5,Llama4_run05.puml,Llama4_run05.png
Llama4,6,Llama4_run06.puml,Llama4_run06.png
Llama4,7,Llama4_run07.puml,Llama4_run07.png
Llama4,8,Llama4_run08.puml,Llama4_run08.png
Llama4,9,Llama4_run09.puml,Llama4_run09.png
Llama4,10,Llama4_run10.puml,Llama4_run10.png
Grok3,1,Grok3_run01.puml,Grok3_run01.png
Grok3,2,Grok3_run02.puml,Grok3_run02.png
Grok3,3,Grok3_run03.puml,Grok3_run03.png
Grok3,4,Grok3_run04.puml,Grok3_run04.png
Grok3,5,Grok3_run05.puml,Grok3_run05.png
Grok3,6,Grok3_run06.puml,Grok3_run06.png
Grok3,7,Grok3_run07.puml,Grok3_run07.png
Grok3,8,Grok3_run08.puml,Grok3_run08.png
Grok3,9,Grok3_run09.puml,Grok3_run09.png
Grok3,10,Grok3_run10.puml,Grok3_run10.png
DeepSeek-R1,1,DeepSeek-R1_run01.puml,DeepSeek-R1_run01.png
DeepSeek-R1,2,DeepSeek-R1_run02.puml,DeepSeek-R1_run02.png
DeepSeek-R1,3,DeepSeek-R1_run03.puml,DeepSeek-R1_run03.png
DeepSeek-R1,4,DeepSeek-R1_run04.puml,DeepSeek-R1_run04.png
DeepSeek-R1,5,DeepSeek-R1_run05.puml,DeepSeek-R1_run05.png
DeepSeek-R1,6,DeepSeek-R1_run06.puml,DeepSeek-R1_run06.png
DeepSeek-R1,7,DeepSeek-R1_run07.puml,DeepSeek-R1_run07.png
DeepSeek-R1,8,DeepSeek-R1_run08.puml,DeepSeek-R1_run08.png
DeepSeek-R1,9,DeepSeek-R1_run09.puml,DeepSeek-R1_run09.png
DeepSeek-R1,10,DeepSeek-R1_run10.puml,DeepSeek-R1_run10.png
Mistral,1,Mistral_run01.puml,Mistral_run01.png
Mistral,2,Mistral_run02.puml,Mistral_run02.png
Mistral,3,Mistral_run03.puml,Mistral_run03.png
Mistral,4,Mistral_run04.puml,Mistral_run04.png
Mistral,5,Mistral_run05.puml,Mistral_run05.png
Mistral,6,Mistral_run06.puml,Mistral_run06.png
Mistral,7,Mistral_run07.puml,Mistral_run07.png
Mistral,8,Mistral_run08.puml,Mistral_run08.png
Mistral,9,Mistral_run09.puml,Mistral_run09.png
Mistral,10,Mistral_run10.puml,Mistral_run10.png
